ID,Asset Name,Code,Project,Client,Project Activity,Activity Description,Duration (Hours),Duration (Days),Time Begin UTC,Time End UTC,URL
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Almuerzo (incluye traslado ida y vuelta).  Ambas cuadrillas de sondaje,1.5,0.1,10-Apr-23 16:00,10-Apr-23 17:30,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-10
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Almuerzo (incluye traslado ida y vuelta) de ambas cuadrillas de las sondas.,1.5,0.1,09-Apr-23 16:00,09-Apr-23 17:30,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-09
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,- Almuerzo (incluye traslado ida y vuelta).,1.5,0.1,08-Apr-23 16:15,08-Apr-23 17:45,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-08
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,- Almuerzo (incluye traslado ida y vuelta).,1.5,0.1,07-Apr-23 16:30,07-Apr-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-07
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,- Almuerzo (incluye traslado ida y vuelta).,1.5,0.1,06-Apr-23 16:30,06-Apr-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-06
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,"- Traslado a El Saladillo, almuerzo en casino. 
- Cambio de turno de ambas cuadrillas.",1.5,0.1,05-Apr-23 14:30,05-Apr-23 16:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-05
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Traslado desde Plataforma hacia casino El Saladillo. Almuerzo del personal de ambas cuadrillas y retorno a plataforma.,1.5,0.1,04-Apr-23 16:00,04-Apr-23 17:30,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-04
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,"Running line DE_A_X58A, FF 3653 LF 1898, Downtime due to dropped shots.",0.7,0.0,04-Apr-23 07:41,04-Apr-23 08:22,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-04-04
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Traslado hacia casino El Saladillo de ambas cuadrillas a almuerzo y retorno a las plataformas de sondaje.,1.5,0.1,03-Apr-23 16:30,03-Apr-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-03
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Running line DE_D_M25A FF 1991 LF 2770. Rerun for streamer issues,1.6,0.1,03-Apr-23 13:22,03-Apr-23 14:59,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-04-03
